id,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Churn
6428,neutral or dissatisfied,Female,Loyal Customer,60,Personal Travel,Eco,333,3,5,3,4,3,4,4,3,3,3,3,4,3,3,5,34,1
123303,satisfied,Male,Loyal Customer,46,Business travel,Business,1640,5,5,5,5,2,5,5,5,5,5,5,3,5,5,21,12,0
73511,neutral or dissatisfied,Female,Loyal Customer,43,Business travel,Eco Plus,1200,3,1,3,1,5,3,3,3,3,3,3,4,3,4,0,0,1
63237,neutral or dissatisfied,Male,Loyal Customer,40,Business travel,Business,399,4,1,1,1,3,4,4,4,4,4,4,1,4,3,0,0,1
105670,neutral or dissatisfied,Male,Loyal Customer,56,Business travel,Eco,1712,3,5,5,5,3,3,3,3,3,4,3,3,4,3,0,0,1
125420,neutral or dissatisfied,Female,Loyal Customer,9,Business travel,Business,2018,2,1,1,1,2,2,2,2,4,1,3,4,4,2,0,0,1
97911,satisfied,Male,disloyal Customer,25,Business travel,Business,1751,0,4,0,4,5,0,5,5,4,4,5,5,5,5,0,0,1
78267,neutral or dissatisfied,Female,Loyal Customer,35,Personal Travel,Eco,2009,4,4,4,3,5,4,5,5,2,5,4,3,4,5,0,0,1
25289,satisfied,Female,Loyal Customer,39,Business travel,Business,3879,5,5,5,5,1,4,2,5,5,5,5,4,5,3,0,0,0
103095,neutral or dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,1763,3,4,3,2,3,3,3,3,3,4,4,5,5,3,0,0,1
14469,satisfied,Female,Loyal Customer,69,Personal Travel,Eco,806,4,4,4,4,5,5,5,5,3,4,5,4,3,5,20,6,0
109816,satisfied,Male,Loyal Customer,51,Business travel,Business,2832,2,2,2,2,5,5,5,4,4,4,4,5,4,5,0,0,0
48150,neutral or dissatisfied,Male,Loyal Customer,21,Business travel,Eco,2016,5,5,4,5,4,3,5,4,5,4,3,5,2,5,176,177,1
85497,satisfied,Female,Loyal Customer,14,Personal Travel,Eco,1541,5,5,5,5,5,5,2,5,5,5,5,2,5,2,0,0,0
116315,satisfied,Female,Loyal Customer,40,Personal Travel,Eco,1577,5,5,5,5,4,4,4,1,1,2,1,5,1,4,5,0,0
49827,neutral or dissatisfied,Female,Loyal Customer,16,Business travel,Eco,1960,1,2,2,2,1,1,1,1,2,2,4,4,3,1,0,0,1
96359,satisfied,Female,Loyal Customer,44,Personal Travel,Eco Plus,1657,0,5,0,3,3,4,5,2,2,0,2,4,2,3,18,0,0
102396,neutral or dissatisfied,Female,disloyal Customer,37,Business travel,Eco,1376,2,0,2,2,4,2,2,4,5,1,5,1,3,4,0,0,1
9643,satisfied,Male,Loyal Customer,41,Business travel,Business,306,1,1,1,1,3,5,5,5,5,5,5,4,5,4,0,0,0
104890,satisfied,Female,Loyal Customer,41,Personal Travel,Eco Plus,371,5,5,2,5,4,3,4,4,4,5,4,4,4,5,15,6,0
41281,satisfied,Female,disloyal Customer,24,Business travel,Business,2255,0,0,0,2,2,0,4,2,5,5,3,4,1,2,0,0,1
125808,satisfied,Female,Loyal Customer,36,Business travel,Business,2153,2,2,2,2,5,4,4,4,4,4,4,5,4,3,0,0,0
105326,satisfied,Male,Loyal Customer,47,Business travel,Business,528,5,5,5,5,5,4,4,2,2,2,2,4,2,4,64,53,0
105118,neutral or dissatisfied,Female,Loyal Customer,35,Business travel,Eco,1287,3,2,4,2,3,3,3,3,1,5,3,2,3,3,23,23,1
72192,satisfied,Male,Loyal Customer,41,Business travel,Eco,1670,4,4,2,4,3,4,3,3,2,3,3,5,4,3,86,92,0
87349,satisfied,Female,Loyal Customer,59,Business travel,Business,2011,2,2,2,2,2,4,4,5,5,4,5,3,5,5,7,0,0
125684,neutral or dissatisfied,Female,disloyal Customer,23,Business travel,Eco,1817,3,3,3,4,5,3,5,5,2,3,3,3,4,5,0,0,1
38967,satisfied,Male,Loyal Customer,35,Business travel,Eco,1616,5,2,2,2,5,5,5,5,3,1,3,5,1,5,0,0,0
39665,satisfied,Male,Loyal Customer,54,Business travel,Eco,1831,4,1,1,1,3,4,3,3,1,4,3,2,2,3,117,118,0
55947,satisfied,Male,disloyal Customer,20,Business travel,Business,2488,5,0,5,3,4,5,4,4,3,2,4,3,4,4,1,0,1
81363,neutral or dissatisfied,Female,Loyal Customer,79,Business travel,Eco Plus,925,2,3,3,3,5,4,3,2,2,2,2,1,2,3,63,82,1
32705,neutral or dissatisfied,Male,Loyal Customer,56,Business travel,Business,2246,4,4,4,4,3,4,4,2,2,2,4,3,2,2,0,0,1
11832,satisfied,Female,Loyal Customer,69,Personal Travel,Eco,987,4,5,4,1,2,5,4,3,3,4,3,4,3,3,0,2,0
4172,neutral or dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,1525,3,5,3,3,4,3,4,4,2,1,5,1,1,4,20,22,1
106364,satisfied,Male,Loyal Customer,27,Business travel,Business,4456,1,1,1,1,3,3,3,3,5,2,4,3,5,3,25,15,0
121566,neutral or dissatisfied,Male,Loyal Customer,64,Business travel,Business,1619,3,4,4,4,1,3,3,3,3,2,3,3,3,2,21,1,1
19525,satisfied,Female,Loyal Customer,58,Business travel,Business,3084,0,5,0,3,4,4,4,2,2,2,2,4,2,3,0,0,0
38924,satisfied,Male,Loyal Customer,36,Business travel,Business,2623,3,3,4,3,3,4,2,5,5,5,5,4,5,5,0,0,0
29388,satisfied,Male,Loyal Customer,38,Business travel,Eco,3442,5,3,3,3,5,5,5,1,4,5,1,5,3,5,0,0,0
60250,neutral or dissatisfied,Female,Loyal Customer,39,Personal Travel,Eco,3329,4,4,4,3,2,4,2,2,3,3,3,2,4,2,11,10,1
113974,neutral or dissatisfied,Female,Loyal Customer,40,Business travel,Business,1764,4,3,5,3,4,4,4,4,4,4,4,2,4,2,8,0,1
115999,neutral or dissatisfied,Male,Loyal Customer,35,Personal Travel,Eco,1658,1,4,1,1,1,1,1,1,4,4,5,5,5,1,0,1,1
79166,satisfied,Female,Loyal Customer,48,Business travel,Business,2469,2,2,2,2,4,4,4,5,3,5,4,4,4,4,0,0,0
69819,neutral or dissatisfied,Female,disloyal Customer,25,Business travel,Eco,1978,1,1,1,4,2,1,2,2,2,1,3,4,4,2,0,0,1
52921,neutral or dissatisfied,Female,Loyal Customer,19,Business travel,Business,2634,2,5,2,5,2,2,2,2,1,3,4,3,4,2,9,21,1
107931,neutral or dissatisfied,Male,Loyal Customer,20,Business travel,Eco,1842,1,4,4,4,1,1,2,1,4,2,4,2,3,1,8,0,1
103403,neutral or dissatisfied,Female,disloyal Customer,48,Business travel,Eco,1925,1,3,1,3,2,1,2,2,2,1,4,2,3,2,24,20,1
40446,satisfied,Male,Loyal Customer,32,Business travel,Business,1219,0,4,0,3,4,1,1,4,4,2,3,1,1,4,0,0,0
89547,neutral or dissatisfied,Male,disloyal Customer,27,Business travel,Business,2118,2,2,2,4,1,2,1,1,4,3,4,4,5,1,0,0,1
57617,satisfied,Male,Loyal Customer,42,Business travel,Business,2986,1,1,1,1,3,5,5,5,5,5,5,4,5,5,2,0,0
99041,satisfied,Male,Loyal Customer,49,Business travel,Business,220,5,5,5,5,4,4,4,5,5,5,4,3,5,5,50,49,0
119819,satisfied,Male,Loyal Customer,48,Business travel,Business,925,4,4,4,4,4,5,4,5,5,5,5,4,5,3,0,0,0
103883,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2671,5,5,5,5,2,4,5,4,4,4,4,3,4,5,1,0,0
53672,satisfied,Female,Loyal Customer,43,Business travel,Eco,1231,5,1,4,1,4,3,5,5,5,5,5,1,5,5,16,0,0
23482,neutral or dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco,2114,2,0,2,2,1,2,1,1,4,5,3,4,4,1,0,0,1
67208,satisfied,Female,Loyal Customer,23,Personal Travel,Eco,2464,3,3,3,3,2,5,4,4,4,4,4,5,4,3,0,0,0
18023,satisfied,Female,Loyal Customer,64,Business travel,Eco Plus,265,4,3,3,3,2,4,1,4,4,4,4,3,4,3,0,0,0
27426,neutral or dissatisfied,Male,disloyal Customer,27,Business travel,Eco,2331,3,3,3,3,3,3,3,3,1,1,3,3,3,3,0,6,1
120786,neutral or dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,2357,2,2,2,2,5,2,5,5,1,5,2,1,2,5,0,0,1
31371,neutral or dissatisfied,Male,Loyal Customer,43,Business travel,Eco,2111,2,3,3,3,2,2,2,2,4,3,2,4,3,2,5,10,1
18727,neutral or dissatisfied,Female,Loyal Customer,52,Business travel,Eco Plus,420,2,5,5,5,3,3,3,2,2,2,2,1,2,4,10,3,1
24364,satisfied,Female,Loyal Customer,40,Business travel,Business,3859,4,4,4,4,5,5,4,4,4,4,4,5,4,1,0,0,0
75036,satisfied,Male,Loyal Customer,43,Personal Travel,Eco,1884,4,4,4,2,3,4,3,3,5,3,5,4,4,3,11,3,0
34814,neutral or dissatisfied,Female,Loyal Customer,44,Personal Travel,Eco,281,4,1,4,2,2,2,2,4,4,4,4,3,4,4,0,0,1
19992,satisfied,Female,Loyal Customer,12,Business travel,Business,4336,1,1,2,1,3,4,3,3,3,1,1,3,3,3,0,0,0
87612,neutral or dissatisfied,Male,Loyal Customer,14,Personal Travel,Business,1753,2,3,3,2,3,3,3,3,2,3,1,4,1,3,0,0,1
62419,neutral or dissatisfied,Female,disloyal Customer,18,Business travel,Eco,3950,3,4,4,3,2,3,4,2,3,4,3,1,3,2,0,4,1
106369,neutral or dissatisfied,Female,Loyal Customer,24,Business travel,Business,3103,3,1,1,1,3,3,3,3,3,2,3,3,3,3,0,0,1
109401,neutral or dissatisfied,Male,Loyal Customer,24,Business travel,Eco Plus,2777,2,2,5,2,2,2,1,2,1,3,3,3,3,2,8,0,1
122795,satisfied,Female,Loyal Customer,16,Business travel,Business,1760,5,5,4,5,3,3,3,3,5,4,5,4,5,3,0,3,0
69657,satisfied,Male,Loyal Customer,55,Business travel,Business,608,3,3,3,3,4,4,4,4,4,4,4,5,4,5,0,0,0
9878,neutral or dissatisfied,Female,disloyal Customer,39,Business travel,Business,2319,1,1,1,1,1,1,1,4,5,1,1,1,1,1,182,194,1
98275,satisfied,Male,Loyal Customer,48,Business travel,Business,2051,4,4,4,4,3,4,5,2,2,3,2,5,2,5,0,0,0
7469,neutral or dissatisfied,Female,disloyal Customer,34,Business travel,Eco,2065,2,3,2,4,1,2,1,1,3,4,3,2,4,1,0,0,1
98057,satisfied,Female,Loyal Customer,44,Personal Travel,Eco,1797,5,2,2,2,5,5,5,5,3,2,1,5,4,5,21,2,0
44471,satisfied,Female,Loyal Customer,51,Personal Travel,Eco,240,3,3,3,3,3,5,5,3,3,3,3,5,3,3,0,0,0
86976,neutral or dissatisfied,Female,disloyal Customer,11,Business travel,Eco,2319,2,2,2,5,2,2,2,2,5,5,4,3,5,2,0,0,1
68231,neutral or dissatisfied,Female,Loyal Customer,46,Business travel,Eco,657,1,5,5,5,5,3,3,1,1,1,1,1,1,1,0,0,1
9774,neutral or dissatisfied,Male,Loyal Customer,39,Business travel,Business,3458,3,3,3,3,1,4,4,3,3,3,3,2,3,3,0,0,1
107061,satisfied,Female,Loyal Customer,7,Personal Travel,Eco,2160,0,3,0,3,2,0,2,2,4,5,3,1,4,2,38,32,0
16704,satisfied,Male,Loyal Customer,51,Business travel,Business,306,0,0,0,2,1,3,1,5,5,5,5,5,5,5,65,70,0
108850,satisfied,Male,Loyal Customer,43,Business travel,Business,2161,4,4,4,4,2,4,5,4,4,4,4,5,4,5,2,0,0
75333,satisfied,Female,Loyal Customer,50,Business travel,Business,3868,5,5,5,5,5,5,5,3,1,4,5,5,1,5,0,3,0
71939,satisfied,Female,Loyal Customer,7,Personal Travel,Eco Plus,3289,0,4,0,3,5,4,5,2,2,5,5,5,2,3,0,0,0
126706,satisfied,Female,Loyal Customer,59,Business travel,Business,2406,5,5,5,5,3,3,4,3,3,4,3,3,3,4,0,0,0
106257,satisfied,Female,Loyal Customer,46,Business travel,Business,1541,3,3,3,3,3,4,4,5,5,5,5,3,5,3,4,0,0
88356,neutral or dissatisfied,Male,Loyal Customer,54,Business travel,Eco,1490,3,2,2,2,3,3,3,3,4,3,3,2,3,3,44,33,1
101956,neutral or dissatisfied,Female,disloyal Customer,38,Business travel,Eco,1769,1,4,1,4,4,1,4,4,4,2,3,1,4,4,39,31,1
21860,neutral or dissatisfied,Male,disloyal Customer,45,Business travel,Eco,1616,2,4,2,1,3,2,3,3,5,3,3,3,4,3,1,0,1
57387,satisfied,Male,Loyal Customer,36,Business travel,Business,3536,5,5,5,5,4,4,4,3,3,3,3,5,3,4,0,4,0
96564,satisfied,Male,Loyal Customer,55,Business travel,Business,2662,0,0,0,1,5,5,5,2,2,2,2,5,2,4,0,0,0
56497,satisfied,Female,Loyal Customer,41,Business travel,Business,953,4,4,4,4,2,5,4,4,4,4,4,4,4,3,59,54,0
68634,neutral or dissatisfied,Female,Loyal Customer,46,Business travel,Business,2613,3,3,3,3,5,3,3,4,4,4,3,1,4,3,0,0,1
115967,satisfied,Female,Loyal Customer,42,Personal Travel,Eco,338,4,4,4,4,2,4,5,4,4,4,4,3,4,4,0,0,0
41138,satisfied,Female,Loyal Customer,19,Personal Travel,Eco,1287,4,4,3,4,3,4,3,3,5,3,4,4,4,3,1,1,0
105224,neutral or dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1880,3,4,3,3,3,3,3,3,3,4,4,3,5,3,89,69,1
91704,satisfied,Male,Loyal Customer,29,Business travel,Business,2027,3,3,3,3,5,5,5,5,5,5,4,3,4,5,0,0,0
127124,neutral or dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,2261,1,1,1,3,4,1,4,4,4,4,3,4,3,4,20,0,1
36559,satisfied,Male,Loyal Customer,38,Business travel,Business,1200,4,4,4,4,2,3,4,5,5,5,5,1,5,2,21,36,0
125768,satisfied,Female,Loyal Customer,30,Business travel,Business,3765,4,4,4,4,4,5,4,4,5,2,4,3,4,4,2,2,0
48773,satisfied,Female,Loyal Customer,43,Business travel,Business,3797,4,3,4,4,3,5,4,4,4,4,5,3,4,3,0,0,0
663,satisfied,Female,Loyal Customer,45,Business travel,Business,3716,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,0
80248,satisfied,Male,Loyal Customer,14,Personal Travel,Eco,1952,5,5,5,5,5,5,5,5,4,3,4,4,5,5,6,0,0
38181,neutral or dissatisfied,Male,Loyal Customer,9,Personal Travel,Eco,2082,1,4,1,3,2,1,2,2,5,4,4,4,4,2,47,28,1
116010,neutral or dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco,1865,2,5,2,3,5,2,5,5,4,2,3,3,4,5,8,0,1
90653,satisfied,Male,Loyal Customer,51,Business travel,Business,443,5,5,5,5,2,5,5,4,4,5,4,3,4,3,0,0,0
1369,neutral or dissatisfied,Female,Loyal Customer,52,Business travel,Business,3440,1,2,2,2,1,4,4,1,1,1,1,2,1,4,70,64,1
48877,satisfied,Male,Loyal Customer,38,Business travel,Eco,1495,5,1,1,1,5,5,5,5,1,5,5,1,5,5,0,0,0
63795,neutral or dissatisfied,Female,Loyal Customer,12,Personal Travel,Eco,2817,4,1,4,2,2,4,3,2,3,1,3,1,2,2,0,0,1
18095,satisfied,Female,Loyal Customer,35,Business travel,Eco Plus,1529,5,4,4,4,5,5,5,5,2,4,1,3,5,5,0,0,0
21935,neutral or dissatisfied,Male,Loyal Customer,38,Business travel,Eco,2034,2,2,2,2,2,2,2,2,4,2,3,1,4,2,29,38,1
55773,satisfied,Female,Loyal Customer,50,Business travel,Business,618,4,4,4,4,2,4,4,3,3,3,3,3,3,5,0,0,0
59419,neutral or dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,3771,2,5,2,3,4,2,5,4,3,4,4,3,4,4,1,0,1
57485,neutral or dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,2989,3,4,3,4,1,3,1,1,5,4,3,4,5,1,101,58,1
30984,neutral or dissatisfied,Male,disloyal Customer,36,Business travel,Business,2489,1,0,0,4,5,0,5,5,3,5,3,1,3,5,28,48,1
81668,neutral or dissatisfied,Female,disloyal Customer,21,Business travel,Eco,2040,2,2,2,5,2,2,2,2,5,4,4,3,5,2,0,0,1
30472,neutral or dissatisfied,Male,Loyal Customer,45,Personal Travel,Business,398,1,5,1,4,5,5,5,3,3,1,3,5,3,3,86,60,1
120584,satisfied,Male,Loyal Customer,50,Business travel,Business,1005,1,1,1,1,3,4,4,4,4,4,4,3,4,3,0,0,0
56528,neutral or dissatisfied,Male,Loyal Customer,53,Business travel,Eco,2452,2,5,1,5,2,2,2,2,2,3,4,3,4,2,10,47,1
85132,satisfied,Male,Loyal Customer,46,Business travel,Business,3861,3,3,3,3,3,5,4,4,4,4,4,5,4,3,23,12,0
42019,satisfied,Male,Loyal Customer,30,Business travel,Business,3347,5,5,5,5,5,5,5,5,3,3,5,3,3,5,0,0,0
13389,neutral or dissatisfied,Female,Loyal Customer,23,Business travel,Business,4048,2,1,1,1,2,2,2,2,4,1,4,4,3,2,0,0,1
77729,neutral or dissatisfied,Male,disloyal Customer,35,Business travel,Business,2106,2,2,2,3,1,2,1,1,4,3,4,5,5,1,0,0,1
106183,neutral or dissatisfied,Female,Loyal Customer,69,Personal Travel,Eco,457,4,2,4,2,1,2,1,1,1,4,4,3,1,2,0,0,1
114317,satisfied,Female,Loyal Customer,52,Personal Travel,Eco,846,4,3,4,1,2,3,2,5,5,4,5,2,5,4,0,0,0
41660,neutral or dissatisfied,Female,Loyal Customer,25,Business travel,Eco,1941,3,5,5,5,3,3,4,3,2,4,3,3,3,3,21,16,1
22351,neutral or dissatisfied,Male,disloyal Customer,21,Business travel,Eco,1512,2,2,2,2,4,2,4,4,1,3,2,1,1,4,8,5,1
103027,satisfied,Female,Loyal Customer,49,Business travel,Business,469,2,2,4,2,5,5,4,2,2,2,2,4,2,4,11,0,0
38693,satisfied,Male,Loyal Customer,28,Business travel,Business,3315,5,5,4,5,5,5,5,5,1,1,3,5,4,5,21,9,0
113619,satisfied,Female,Loyal Customer,44,Personal Travel,Eco,447,4,4,4,4,2,4,4,5,5,5,5,3,5,5,7,5,0
114666,satisfied,Female,Loyal Customer,32,Business travel,Business,1837,3,3,3,3,5,5,5,5,5,5,5,4,5,5,0,0,0
124699,neutral or dissatisfied,Male,Loyal Customer,39,Business travel,Business,400,3,1,1,1,4,3,4,3,3,3,3,2,3,3,0,0,1
7321,satisfied,Female,Loyal Customer,34,Personal Travel,Eco Plus,1048,5,5,5,5,5,5,5,4,4,5,4,4,4,4,0,0,0
13297,neutral or dissatisfied,Female,disloyal Customer,16,Business travel,Eco,1794,4,0,4,5,4,4,4,4,3,5,2,1,4,4,0,0,1
109637,satisfied,Female,Loyal Customer,48,Business travel,Business,1640,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,0
31468,satisfied,Female,Loyal Customer,35,Business travel,Eco,2293,4,2,2,2,4,4,4,4,4,2,5,5,2,4,0,0,0
106855,satisfied,Female,Loyal Customer,46,Business travel,Business,2065,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,0
103226,neutral or dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,2098,2,3,2,2,3,2,3,3,2,5,2,3,2,3,2,1,1
78901,satisfied,Female,Loyal Customer,45,Personal Travel,Eco,2056,4,4,4,5,5,5,4,2,2,4,2,3,2,4,0,0,0
30986,neutral or dissatisfied,Female,Loyal Customer,42,Personal Travel,Eco,1502,4,1,3,3,3,2,4,1,1,3,1,2,1,2,64,74,1
84018,neutral or dissatisfied,Male,Loyal Customer,8,Personal Travel,Eco,1679,3,0,3,5,5,3,5,5,5,2,4,3,5,5,3,0,1
49493,neutral or dissatisfied,Male,disloyal Customer,39,Business travel,Eco,1828,2,4,2,5,2,2,2,2,1,5,3,2,4,2,0,0,1
103021,neutral or dissatisfied,Female,disloyal Customer,22,Business travel,Eco,2307,4,4,4,1,2,4,2,2,4,2,4,4,5,2,11,0,1
42292,satisfied,Female,Loyal Customer,41,Business travel,Business,445,2,4,2,2,2,2,2,4,4,4,4,3,4,1,38,52,0
113013,neutral or dissatisfied,Female,disloyal Customer,35,Business travel,Business,2896,4,3,3,4,2,3,2,2,3,2,3,4,4,2,10,0,1
120568,neutral or dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,3316,3,1,3,3,2,3,2,2,2,2,4,2,4,2,0,0,1
83998,neutral or dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco,1874,2,5,2,5,2,2,2,2,3,2,2,5,1,2,0,0,1
40386,satisfied,Male,Loyal Customer,53,Business travel,Eco Plus,2625,3,3,3,3,3,3,3,3,4,3,5,2,4,3,11,0,0
15009,neutral or dissatisfied,Male,disloyal Customer,43,Business travel,Eco,2340,3,4,3,4,3,3,5,3,3,4,4,1,5,3,0,0,1
105780,satisfied,Female,Loyal Customer,46,Personal Travel,Eco,829,3,3,3,3,3,4,4,4,4,4,5,4,4,5,67,84,0
68882,satisfied,Female,Loyal Customer,9,Business travel,Business,4307,4,4,4,4,4,4,4,4,3,5,4,3,4,4,0,0,0
119584,satisfied,Female,Loyal Customer,30,Business travel,Business,3136,4,4,4,4,4,5,4,4,3,5,5,3,4,4,0,0,0
14152,neutral or dissatisfied,Female,Loyal Customer,14,Personal Travel,Eco,2049,4,4,2,4,4,2,4,4,4,2,4,3,4,4,0,0,1
91118,satisfied,Female,Loyal Customer,34,Personal Travel,Eco,1493,4,4,3,5,3,3,3,3,3,4,4,4,4,3,0,0,0
98494,satisfied,Male,Loyal Customer,58,Business travel,Business,4487,1,1,1,1,3,3,3,5,4,4,5,3,3,3,136,140,0
91644,neutral or dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,2320,1,1,1,3,5,1,5,5,3,3,3,2,3,5,3,3,1
31071,neutral or dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,1872,3,5,3,2,2,3,5,2,3,3,4,4,4,2,0,7,1
104975,neutral or dissatisfied,Male,Loyal Customer,48,Business travel,Eco,1739,4,1,3,1,5,4,5,5,4,3,2,1,3,5,0,40,1
59167,satisfied,Female,Loyal Customer,22,Personal Travel,Eco Plus,2480,2,2,2,2,3,4,3,3,5,2,4,3,5,3,0,0,0
40581,neutral or dissatisfied,Female,Loyal Customer,48,Business travel,Eco,545,3,4,4,4,3,4,4,3,3,3,3,2,3,1,0,0,1
67401,satisfied,Female,Loyal Customer,59,Business travel,Business,647,3,3,3,3,5,5,5,2,2,2,2,4,2,3,3,0,0
79311,satisfied,Female,Loyal Customer,10,Personal Travel,Eco,3604,4,4,4,4,2,5,5,4,4,4,4,4,4,5,24,23,0
39389,satisfied,Male,Loyal Customer,36,Business travel,Business,1962,3,3,3,3,1,1,3,4,4,4,4,3,4,5,0,0,0
61918,neutral or dissatisfied,Male,Loyal Customer,19,Business travel,Business,3939,1,4,4,4,1,1,1,1,2,5,4,3,4,1,1,4,1
71059,satisfied,Female,Loyal Customer,17,Personal Travel,Eco,2164,4,1,4,2,5,4,5,5,4,1,2,2,1,5,6,0,0
63330,satisfied,Female,Loyal Customer,68,Business travel,Business,3281,5,5,5,5,4,3,1,4,4,4,4,5,4,4,0,0,0
89046,satisfied,Female,Loyal Customer,49,Business travel,Business,1950,5,5,5,5,5,4,4,5,5,5,5,3,5,4,6,0,0
59031,neutral or dissatisfied,Female,Loyal Customer,23,Business travel,Business,3685,3,5,1,1,3,2,3,3,2,1,3,4,4,3,9,0,1
99359,neutral or dissatisfied,Female,Loyal Customer,71,Business travel,Eco Plus,1812,1,2,2,2,4,3,3,1,1,1,1,2,1,2,0,0,1
126153,satisfied,Female,Loyal Customer,52,Business travel,Business,2631,2,2,2,2,2,5,5,2,2,2,2,5,2,4,7,10,0
111061,neutral or dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,1828,2,2,2,2,2,2,2,2,3,1,2,2,2,2,42,31,1
73374,neutral or dissatisfied,Male,disloyal Customer,28,Business travel,Eco,2722,4,4,4,4,4,4,4,4,2,5,3,4,3,4,3,0,1
81381,satisfied,Male,Loyal Customer,31,Business travel,Business,2097,3,3,2,3,3,3,3,3,3,2,5,3,5,3,15,1,0
